# AVERTISSEMENT: Ce jeu de données est en cours de construction et d'amélioration.
# Il ne doit pas engager la responsabilité de l'ANSSI et est fourni à des fins de développement uniquement.
#
REF Guide,REF Question,Question type,Tags,REF Réponse,Réponse envisagée,Numéro page (lecteur),Localisation paragraphe,Réponse Bot,Note réponse (/10),Commentaire Note
GAUT,GAUT.Q.11,Quelles sont les principales menaces sur les facteurs de possession ?,Usuelle,GAUT.R.11,"Les principales menaces pesant sur les facteurs de possession sont le vol, la perte, la duplication, la falsification ou bien encore la compromission totale de l’équipement qui porte le facteur de possession. Afin de réaliser une usurpation d’identité, les attaquants vont chercher à récupérer les secrets cryptographiques contenus dans le facteur de possession via par exemple des attaques par canaux auxiliaires.",13,Quatrième paragraphe,"Les principales menaces sur les facteurs de possession, selon les documents fournis, sont :

1. **Vol** : Perte de contrôle de l'équipement contenant le facteur de possession.
2. **Perte** : Disparition involontaire de l'équipement.
3. **Duplication** : Copie illicite des secrets cryptographiques (clés, codes, etc.).
4. **Falsification** : Création d'un facteur frauduleux pour usurper l'identité.
5. **Compromission totale** : Accès non autorisé aux données stockées.
6. **Attaques par canaux auxiliaires** : Exploitation de fuites physiques (consommation électrique, émanations électromagnétiques, etc.) ou logicielles pour extraire les secrets.
7. **Attaques par injection de fautes** : Perturbation du fonctionnement normal du composant pour en extraire des informations.

Ces menaces sont détaillées dans la section **""Menaces et attaques sur les facteurs de possession""** du document fourni.

**Source** : Extraits du document fourni (sections sur les facteurs de possession et les composants de sécurité).",,
GAUT,GAUT.Q.12,Quelles sont les principales menaces sur les facteurs inhérents ?,Usuelle,GAUT.R.12,"Les principales menaces pesant sur les facteurs inhérents (couramment appelés facteurs biométriques) visent à leurrer le mécanisme de reconnaissance biométrique en usurpant l’identité de la personne physique, par exemple par la présentation d’une photographie ou d’une séquence vidéo préenregistrée ou altérée, ou d’un moulage de l’empreinte digitale.",13,Cinquième paragraphe,"Les principales menaces sur les facteurs inhérents (biométriques) visent à tromper les systèmes de reconnaissance en usurpant l'identité d'une personne. Cela peut se faire par la présentation d'une photographie, d'une vidéo préenregistrée ou altérée, ou d'un moulage d'empreinte digitale, par exemple.

**Source :**
- Document ""Les principales menaces pesant sur les facteurs inhérents (couramment appelés facteurs biométriques) visent à leurrer le mécanisme de reconnaissance biométrique en usurpant l'identité de la personne physique..."".",,Bonne réponse
GAUT,GAUT.Q.13,Qu'est-ce que l'authentification multifacteur ?,Usuelle,GAUT.R.13,"L’authentification multifacteur découle de la nécessité de renforcer la sécurité apportée par l’utilisation d’un unique facteur d’authentification, particulièrement lorsqu’il s’agit d’un mot de passe utilisé seul. Ainsi même si ce dernier est compromis, un facteur supplémentaire d’un type différent est requis afin de s’authentifier.",15,Quatrième paragraphe,"L'authentification multifacteur (AMF) est un mécanisme qui permet de prouver l'identité d'un utilisateur en vérifiant plusieurs éléments d'authentification, chacun appartenant à une catégorie différente. Ces catégories sont les facteurs de **connaissance** (ex. mot de passe), de **possession** (ex. carte à puce ou téléphone) et **inhérents** (ex. empreinte digitale). Pour être considérée comme multifacteur, l'authentification doit obligatoirement combiner au moins deux catégories distinctes.

Par exemple, une combinaison mot de passe + code SMS n'est pas une authentification multifacteur forte, car le SMS est un facteur de connaissance (code reçu par un canal non sécurisé) et non de possession. En revanche, un mot de passe associé à une clé FIDO U2F ou une biométrie répond aux critères de l'AMF.

L'AMF ne doit pas être confondue avec l'authentification forte, qui repose sur un protocole cryptographique robuste (ex. défi-réponse) et peut n'utiliser qu'un seul facteur.",,"On ne dit pas AMF ni ""une biométrie"""
GAUT,GAUT.Q.14,Quels sont les différents types de facteurs d'authentification existants ?,Usuelle,GAUT.R.14,"Un facteur d’authentification est un facteur lié à une personne, relevant de diverses catégories :
- facteur de connaissance : « ce que je sais », il s’agit d’une connaissance devant être mémorisée telle qu’une phrase de passe, un mot de passe, un code, etc;
- facteur de possession : « ce que je possède », il s’agit d’un élément secret non mémorisable contenu dans un objet physique qui idéalement protège cet élément de toute extraction, tel qu’une carte à puce, un token, un téléphone, etc;
- facteur inhérent : « ce que je suis », il s’agit d’une caractéristique physique intrinsèquement liée à une personne et indissociable de la personne elle-même, telle qu’une caractéristique biologique (ADN), morphologique (empreinte digitale, empreinte rétinienne) ou comportementale (voix, frappe au clavier).",15,Cinquième à huitième paragraphe,"Les documents identifient trois catégories principales de facteurs d'authentification :

1. **Facteur de connaissance** : éléments que l'utilisateur connaît (mot de passe, code PIN).
2. **Facteur de possession** : éléments que l'utilisateur possède (carte à puce, jeton USB, certificat électronique x.509).
3. **Facteur inhérent** : éléments liés à l'identité physique ou biologique de l'utilisateur (empreinte digitale, reconnaissance faciale).

Ces catégories sont définies dans les sections sur l'authentification multifacteur et les mécanismes d'authentification.

**Source** : Documents fournis (sections sur l'authentification multifacteur et les facteurs d'authentification).",,
GAUT,GAUT.Q.15,Quelle est la différence entre authentification forte et authentification multifacteur ? ,Usuelle,GAUT.R.15,"En langue française, l’authentification multifacteur est souvent confondue avec l’appellation authentification forte (ou robuste), ce qui laisserait entendre qu’une authentification multifacteur est nécessairement plus robuste qu’une authentification avec un unique facteur.

Il convient ainsi de différencier authentification multifacteur et authentification forte. D’une part, une authentification multifacteur est une authentification faisant intervenir plusieurs catégories de facteurs. Néanmoins, ces facteurs, pris indépendamment ou ensemble, ne sont pas forcément considérés comme étant forts (un exemple typique étant un mot de passe associé à un code temporaire reçu par SMS). D’autre part, une authentification forte (qui repose généralement sur un facteur unique) est une authentification reposant sur un mécanisme cryptographique dont les paramètres et la sécurité sont jugés robustes (l’élément secret est alors généralement une clé cryptographique).",17,Quatrième à cinquième paragraphe,"L'authentification multifacteur et l'authentification forte diffèrent par leur approche et leur niveau de sécurité :

1. **Authentification multifacteur** :
   Elle repose sur plusieurs facteurs d'authentification appartenant à des catégories distinctes (connaissance, possession, inhérent). Cependant, ces facteurs ne sont pas nécessairement robustes (ex. : mot de passe + SMS). Elle peut être considérée comme ""forte"" si au moins un facteur est fort (comme une clé cryptographique).
   *Source : Extrait du document sur l'authentification multifacteur (pages 46-48, 92-93).*

2. **Authentification forte** :
   Elle utilise généralement un seul facteur, mais reposant sur un mécanisme cryptographique robuste (ex. : protocole défi-réponse avec clé secrète). Elle est jugée plus sécurisée que l'authentification multifacteur ""faible"".
   *Source : Définition dans le chapitre 2 (pages 9-15) et recommandations R2.*

🔗 **Documents sources** : Extraits des documents fournis (pages 9-15, 46-48, 92-93).",,
GAUT,GAUT.Q.16,Quelles sont les phases du cycle de vie des facteurs d'authentification ? ,Usuelle,GAUT.R.16,"Le cycle de vie d’un facteur d’authentification peut se décomposer en trois phases : sa création (et sa remise à l’utilisateur), son utilisation et sa révocation.",21,Deuxième paragraphe,"D'après les documents fournis, le cycle de vie des facteurs d'authentification comprend trois phases principales :

1. **Création et remise à l'utilisateur** : Phase critique où le facteur est généré et distribué de manière sécurisée (*Recommandations concernant le cycle de vie des facteurs d'authentification*).
2. **Utilisation** : Pendant laquelle le facteur est employé pour l'authentification, sous réserve de conditions d'utilisation définies (*Recommandations concernant le cycle de vie des facteurs d'authentification*).
3. **Révocation** : Mise hors service du facteur (par exemple après un départ de l'utilisateur ou une compromission) pour éviter son usage frauduleux (*Recommandations concernant le cycle de vie des facteurs d'authentification*).

Sources : *Recommandations concernant le cycle de vie des facteurs d'authentification* (section 3).",,
GAUT,GAUT.Q.17,Quelles sont les recommandations lors de la création d'un facteur d'authentification ? ,Usuelle,GAUT.R.17,"Il est recommandé de :
- Créer les facteurs d'authentification dans un environnement maîtrisé;
- Générer les éléments aléatoires avec un générateur de nombres aléatoires robuste;
- Remettre les facteurs d'authentification au travers de canaux sécurisés;
- Mettre en place un processus de renouvellement des facteurs d'authentification.","21
22","21 - Quatrième paragraphe
22 - Deuxième, troisième et sixième paragraphe","Voici les recommandations pour la création d'un facteur d'authentification, basées exclusivement sur les documents fournis :

1. **Création dans un environnement maîtrisé** : Les facteurs d'authentification doivent être créés dans un environnement contrôlé par l'entité responsable, afin de limiter les risques de compromission (R4).
2. **Utilisation d'un générateur robuste** : Les éléments aléatoires (comme les clés cryptographiques) doivent être générés avec un générateur de nombres aléatoires fiable (R4 et R5).
3. **Transmission sécurisée** : Les facteurs d'authentification doivent être remis à l'utilisateur via des canaux sécurisés (R6).
4. **Processus de renouvellement** : Un mécanisme de renouvellement périodique doit être mis en place pour limiter les risques liés à la compromission d'un facteur (R7).

**Sources** :
- ""Liste des recommandations"" (R4, R5, R6, R7).
- ""Recommandations concernant le cycle de vie des facteurs d'authentification"" (Section 3.1).",,LE 4ème point est faux : le renouvellement ne doit pas être périodique (sauf pour les comptes à privilèges)
GAUT,GAUT.Q.18,Quelles sont les recommandations lors de la transmission et l'utilisation d'un facteur d'authentification ? ,Usuelle,GAUT.R.18,"Il es recommandé de :
- Ne pas utiliser le SMS comme moyen de réception d'un facteur d'authentification;
- Conserver les historiques d'utilisation des facteurs d'authentification;
- Limiter dans le temps le nombre de tentatives d'authentification;
- Réaliser l'authentification au travers d'un canal sécurisé;
- Limiter la durée de validité d'une session authentifiée;
- Protéger les données d'authentification stockées par le vérifieur;
- Ne pas donner d'information sur l'échec de l'authentification;
- Définir un délai d'expiration des facteurs d'authentification;
- Définir une politique d'utilisation des facteurs d'authentification;
- Sensibiliser les utilisateurs à la sécurité de l'authentification.","23
24
25
26","23 - Cinquième et septième paragraphes
24 - Deuxième et quatrième paragraphes
25 - Premier, troisième et cinquième paragraphes
26 - Premier à troisième paragraphe","D'après les documents fournis, voici les recommandations lors de la transmission et l'utilisation d'un facteur d'authentification :

1. **Transmission sécurisée** :
   - Utiliser des canaux sécurisés pour la transmission des facteurs d'authentification (R6).
   - Ne pas utiliser le SMS comme moyen de réception d'un facteur d'authentification (R8).

2. **Protection des données** :
   - Protéger les données d'authentification stockées par le vérifieur (R13).

3. **Gestion des échecs d'authentification** :
   - Ne pas fournir d'informations sur l'échec de l'authentification pour éviter de renseigner un attaquant (R14).

4. **Durée de validité** :
   - Définir un délai d'expiration des facteurs d'authentification pour limiter les risques en cas de compromission (R15).

5. **Environnement maîtrisé** :
   - Créer les facteurs d'authentification dans un environnement contrôlé et sécurisé (R4).

*Sources : Liste des recommandations (R6, R8, R13, R14, R15, R4), et section 3.2 des documents fournis.*",,Il n'y a pas tout.
GAUT,GAUT.Q.19,Quelles sont les recommandations lors de la révocation d'un facteur d'authentification ? ,Usuelle,GAUT.R.19,"Il est recommandé de :
- Mettre en place un processus dédié permettant de révoquer des facteurs d’authentification et de diffuser l’information de révocation;
- Définir des délais adaptés de prise en compte des révocations.","26
27","26 - Septième paragraphe
27 - Deuxième paragraphe","La révocation d'un facteur d'authentification doit s'appuyer sur un **processus dédié** permettant de bloquer son utilisation et de diffuser cette information. Ce processus est essentiel en cas de compromission, perte ou fermeture de compte, afin d'empêcher une usurpation d'identité (source : ""La révocation d'un facteur d'authentification"" dans les documents fournis).

Pour les certificats électroniques, la révocation est diffusée via des **listes de révocation (CRL)** ou le protocole **OCSP**. Pour les autres facteurs (connaissance, possession), la révocation implique la désactivation du moyen révoqué et la génération de nouveaux éléments secrets. En revanche, la révocation d'un facteur biométrique (comme une empreinte digitale) est plus complexe car la caractéristique physique ne peut être remplacée (source : ""R18"").

Enfin, il est recommandé de **sensibiliser les utilisateurs** sur les procédures à suivre en cas de perte ou de compromission (source : ""Sensibiliser les utilisateurs à la sécurité de l'authentification"").

**Documents sources :**
- ""La révocation d'un facteur d'authentification""
- ""R18""
- ""Sensibiliser les utilisateurs à la sécurité de l'authentification""",,Il manque les délais
GAUT,GAUT.Q.20,Qu'est-ce qu'une politique de sécurité des mots de passe ? ,Usuelle,GAUT.R.20,"Une politique de sécurité des mots de passe doit a minima définir les éléments suivants :
- catégorie de mots de passe;
- longueur de mots de passe;
- règles de complexité des mots de passe (types de caractères);
- délai d'expiration des mots de passe;
- mécanismes de limitation d’essais d’authentification;
- mécanismes de contrôle de la robustesse des mots de passe;
- méthode de conservation des mots de passe;
- méthode de recouvrement d’accès en cas de perte ou de vol des mots de passe;
- mise à disposition d’un coffre-fort de mots de passe.",29,Quatrième paragraphe,"Une **politique de sécurité des mots de passe** est un ensemble de règles définissant les exigences et les mécanismes pour la gestion sécurisée des mots de passe. Elle couvre notamment :
- La **catégorisation** des mots de passe (ex. : mots de passe humains vs. générés automatiquement).
- Les **exigences de longueur** et de **complexité** (types de caractères autorisés).
- Les **délais d'expiration** (souvent imposés pour les comptes à privilèges).
- Les **méthodes de conservation** (stockage chiffré, sans conservation en clair).
- Les **mécanismes de limitation des essais d'authentification** (ex. : blocage après X tentatives).
- Les **procédures de recouvrement** en cas de perte ou de vol.
- La **mise à disposition d'un coffre-fort de mots de passe** si nécessaire.

Cette politique vise à renforcer la robustesse des mots de passe (via l'entropie et d'autres mesures) et à réduire les risques liés à leur utilisation (ex. : réutilisation, motifs prévisibles).

**Sources** :
- Recommandation R20 du guide ANSSI (""Mettre en place une politique de sécurité des mots de passe"").
- Extraits relatifs à la gestion des mots de passe (ex. : stockage chiffré, complexité, expiration).
- Extrait sur l'entropie et ses limites (page 28).",,Il en manque.
GAUT,GAUT.Q.21,Quelle doit être la longueur des mots de passe ?,Usuelle,GAUT.R.21,"La longueur minimum des mots de passe doit dépendre de la sensibilité des ressources ou actions :
- Faible à moyen : Entre 9 et 11 caractères (taille de clé équivalente en bits : environ 65);
- Moyen à fort : Entre 12 et 14 caractères (taille de clé équivalente en bits : environ 85);
- Fort à très fort : Au moins 15 caractères (taille de clé équivalente en bits : égale ou plus de 100).",30,TABLE 3 – Recommandations concernant les longueurs minimales des mots de passe,"Selon les recommandations de l'ANSSI, la longueur minimale des mots de passe dépend du niveau de sensibilité du système d'information :

- **Niveau faible à moyen** : entre **9 et 11 caractères** (entropie ≈ 65 bits) *(Guide de l'ANSSI, Tableau 3 – Longueurs minimales des mots de passe)*.
- **Contexte sensible (fort/très fort)** : la longueur minimale doit être **adaptée à l'analyse des risques**, avec des valeurs supérieures à 20 caractères pour les mots de passe non mémorisés *(R23)*.
- **Pratique recommandée** : ne pas imposer de longueur maximale pour favoriser les phrases de passe, tout en évitant des limites trop faibles (8-10 caractères) qui fragiliseraient la sécurité *(R22)*.

**Sources** :
- Guide de l'ANSSI (Tableau 3, R22, R23).
- *cyber.gouv.fr* (principes de robustesse des mots de passe).",,Ce n'est pas la bonne réponse.
GAUT,GAUT.Q.22,Quelle doit être la complexité (type de caractères) des mots de passe ?,Usuelle,GAUT.R.22,"Il est recommandé d'imposer des contraintes sur les types de caractères que les mots de passe doivent contenir (caractères numériques, alphanumériques, en minuscules, en majuscules, comprenant des caractères spéciaux, etc). Par exemple, il peut être imposé que les mots de passe contiennent au moins une majuscule, un chiffre et un caractère spécial.",31,Quatrième paragraphe,"Les documents recommandent d'imposer des règles de complexité pour les mots de passe, notamment en exigeant l'utilisation de différents types de caractères (minuscules, majuscules, chiffres et caractères spéciaux) afin de rendre les attaques en ligne plus difficiles. Ils soulignent aussi que la longueur est un facteur clé de sécurité, avec des longueurs minimales variables selon le niveau de sensibilité (entre 9 et 11 caractères pour un niveau faible à moyen).

Cependant, ils critiquent les règles de complexité basiques (comme remplacer ""a"" par ""@"") qui sont souvent contournées par les utilisateurs et inefficaces contre les attaques hors ligne. Ils recommandent plutôt des phrases de passe ou des mots de passe très longs (sans limite maximale stricte) pour augmenter l'entropie et faciliter la mémorisation.

**Sources :**
- Guide ANSSI sur les mots de passe (mention des règles de complexité et des phrases de passe)
- Recommandation R23 (""Mettre en œuvre des règles sur la complexité des mots de passe"")
- Tableau 3 (longueurs minimales selon les niveaux de sensibilité)",10,
GAUT,GAUT.Q.23,Quel doit être le délai d'expiration des mots de passe ?,Usuelle,GAUT.R.23,"Il est recommandé de pas imposer par défaut de délai d'expiration sur les mots de passe des comptes non sensibles.
Par contre, pour les comptes à privilèges (ex. comptes administrateurs) il est recommandé d'imposer un délai d'expiration pouvant par exemple être fixé entre 1 et 3 ans.

En cas de compromission suspectée ou avérée, il est toutefois recommandé de révoquer immédiatement les mots de passe.","32
33","32 - Cinquième et septième paragraphe
33 - Deuxième paragraphe","D'après les documents officiels de l'ANSSI, les délais d'expiration des mots de passe dépendent du niveau de sensibilité des comptes :

- **Comptes non sensibles** (comptes utilisateur standard) : Il est recommandé de **ne pas imposer par défaut de délai d'expiration** si des mots de passe robustes sont garantis (ex : contrôle de robustesse, utilisation de coffres-forts de mots de passe) (*R24*).
- **Comptes sensibles (à privilèges)** : Un délai d'expiration **compris entre 1 et 3 ans** est recommandé (*R25, section 4.4*).

En cas de **compromission suspectée ou avérée**, les mots de passe doivent être renouvelés **immédiatement** (*R26*).

**Sources** : Guide d'administration sécurisée (ANSSI), sections 4.4, R24, R25 et R26.",10,
GAUT,GAUT.Q.24,Comment contrôler la robustesse des mots de passe ?,Usuelle,GAUT.R.24,"Il est recommandé de mettre en place un contrôle de la robustesse des mots de passe lors de leur création ou de leur renouvellement. Il existe de nombreux contrôles, comme par exemple :
- mettre en place des mécanismes automatiques et systématiques permettant de vérifier que les mots de passe respectent bien les règles définies dans la politique de sécurité des mots de passe;
- comparer les mots de passe lors de leur création à une base de données répertoriant les mots de passe les plus utilisés ou bien ceux qui ont été compromis;
- repérer les mots de passe contenant des motifs (ou des répétitions de motifs) spécifiques;
- repérer les mots de passe contenants des informations personnelles saisies lors de la création du compte;
- interdire la réutilisation d’un mot de passe parmi les X derniers mots de passe déjà utilisés.",33,Quatrième à dixième paragraphes,"Pour contrôler la robustesse des mots de passe lors de leur création, les documents officiels de l'ANSSI recommandent les mesures suivantes :

1. **Contrôle automatisé** : Mettre en place un contrôle systématique de la robustesse des mots de passe lors de leur création ou renouvellement (R27).
2. **Règles de complexité** : Imposer des exigences de longévité et de complexité (majuscules, minuscules, chiffres, caractères spéciaux) tout en proposant un jeu de caractères large (R27).
3. **Éviter les détournements** : Prévenir les pratiques courantes (comme remplacer ""a"" par ""@"") qui peuvent être contournées par des attaquants (R27).
4. **Combinaison avec des limitations** : Coupler ces contrôles avec des limites temporelles en cas d'échecs d'authentification pour renforcer la protection contre les attaques en ligne (R10).

**Source** : Référentiel ""R26"" et ""4.5 Contrôle de la robustesse des mots de passe"" (cyber.gouv.fr).",5,"Il faut ajouter ""au moment de la création"" à la question car sinon on a pas la bonne réponse, mais c'est logique.
Réponse très incomplète"
